"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Tragulus javanicus","A","TEAMS_BBS","G",2,2775,1,0,0.98,-999,1
"Presbytis melalophos","A","TEAMS_BBS","Ar",3,6300,0,1,1.01,14.5,14
"Pardofelis marmorata","A","TEAMS_BBS","S",1,2854.25,1,0,2,-999,-999
"Muntiacus muntjak","B","TEAMS_BBS","G",2,15925.79,1,1,1,-999,-999
"Macaca nemestrina","B","TEAMS_BBS","S",4,6296.5,0,1,1.01,-999,22.6
"Helarctos malayanus","B","TEAMS_BBS","G",4,46500,1,0,1.1,-999,-999
"Rusa unicolor","B","TEAMS_BBS","G",2,177522.9,1,0,1,-999,-999
"Sus scrofa","B","TEAMS_BBS","G",5,96118.09,1,0,4.52,-999,13
"Tragulus napu","B","TEAMS_BBS","G",2,4950,1,0,0.96,-999,-999
"Tapirus indicus","B","TEAMS_BBS","G",1,296250,1,0,1,1,1.5
"Symphalangus syndactylus","B","TEAMS_BBS","Ar",3,10839,0,1,1.02,-999,3.8
"Manis javanica","B","TEAMS_BBS","Ar",1,5150,1,0,1,-999,-999
"Panthera tigris","B","TEAMS_BBS","G",1,162564,1,1,2.6,1,1
"Prionailurus bengalensis","B","TEAMS_BBS","S",3,3300,1,1,2.5,-999,-999
"Elephas maximus","B","TEAMS_BBS","G",1,2915040,1,1,1.41,-999,7.75
"Cuon alpinus","B","TEAMS_BBS","G",2,14173.33,0,1,4.3,-999,-999
"Catopuma temminckii","B","TEAMS_BBS","G",2,11500,1,0,1.5,-999,-999
"Prionodon linsang","B","TEAMS_BBS","S",3,700,1,0,2.3,-999,-999
"Arctogalidia trivirgata","B","TEAMS_BBS","Ar",4,2250,1,0,2.79,-999,-999
"Paguma larvata","B","TEAMS_BBS","G",3,4300,1,0,2.16,-999,-999
"Macaca fascicularis","B","TEAMS_BBS","S",3,3991.5,0,1,1,23.6,27
"Hemigalus derbyanus","B","TEAMS_BBS","G",1,2322.5,1,0,1.73,-999,-999
"Cynogale bennettii","B","TEAMS_BBS","G",4,4500,1,0,2.3,-999,-999
"Arctictis binturong","B","TEAMS_BBS","Ar",5,9875,1,0,2.5,-999,-999
"Lutra lutra","B","TEAMS_BBS","G",4,8785.14,1,1,2.01,-999,-999
"Herpestes brachyurus","B","TEAMS_BBS","G",5,1853.52,1,1,3.49,-999,-999
"Tragulus kanchil","B","TEAMS_BBS","G",2,3706.24,1,0,-999,-999,-999
"Paradoxurus hermaphroditus","B","TEAMS_BBS","Ar",4,3156.66,1,0,3.29,-999,-999
"Capricornis sumatraensis","B","TEAMS_BBS","G",1,110942.22,0,1,1.22,-999,-999
"Martes flavigula","B","TEAMS_BBS","Ar",5,1842.5,0,1,3.53,-999,-999
"Hystrix brachyura","C","TEAMS_BBS","G",2,8450,1,0,1.41,1,1
"Trichys fasciculata","C","TEAMS_BBS","S",2,1655,1,0,-999,-999,-999
"Herpestes semitorquatus","C","TEAMS_BBS","G",5,1916.01,1,1,-999,-999,-999
"Nycticebus coucang","C","TEAMS_BBS","Ar",4,803.5,1,0,1.12,-999,1
"Hylobates agilis","C","TEAMS_BBS","Ar",3,5650,0,1,1.02,-999,4.2
"Viverra tangalunga","C","TEAMS_BBS","G",6,6885,1,1,1.92,-999,-999
