"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Tamiasciurus hudsonicus","A","EMML_AACT","Ar",6,201.17,0,1,3.93,-999,-999
"Tamias striatus","A","EMML_AACT","G",4,111.91,0,1,-999,-999,-999
"Mustela erminea","A","EMML_AACT","G",4,119.38,1,0,6.74,-999,-999
"Mustela frenata","A","EMML_AACT","G",1,147,1,1,6.5,-999,-999
"Mephitis mephitis","B","EMML_AACT","G",5,2085.02,1,0,5.7,-999,-999
"Odocoileus virginianus","B","EMML_AACT","G",2,55508.56,1,0,1.57,-999,2.25
"Procyon lotor","B","EMML_AACT","G",4,5524.97,1,0,3.06,-999,-999
"Canis latrans","B","EMML_AACT","G",3,13406.33,1,0,5.72,-999,-999
"Martes pennanti","B","EMML_AACT","S",2,4000,1,1,3.02,-999,-999
"Vulpes vulpes","B","EMML_AACT","G",3,5476.17,1,0,4.59,-999,-999
"Sciurus carolinensis","B","EMML_AACT","Ar",3,506.5,0,1,2.98,-999,1
"Sylvilagus floridanus","B","EMML_AACT","G",1,1172.79,1,0,4.62,-999,-999
"Urocyon cinereoargenteus","B","EMML_AACT","G",5,3833.72,1,0,3.71,-999,-999
"Didelphis virginiana","B","EMML_AACT","S",4,2195.48,1,0,8.62,-999,1
"Erethizon dorsatum","B","EMML_AACT","S",3,7085.33,1,0,1,-999,1
"Ursus americanus","C","EMML_AACT","G",4,99949.36,1,0,2.39,-999,-999
"Lepus americanus","C","EMML_AACT","G",1,1710.02,1,0,3.54,-999,-999
"Lynx rufus","C","EMML_AACT","G",1,8904.1,1,0,2.76,-999,-999
"Marmota monax","C","EMML_AACT","G",3,3801.72,0,1,4.1,-999,1
"Castor canadensis","C","EMML_AACT","G",1,21820,1,0,3.6,-999,5.1
"Lontra canadensis","C","EMML_AACT","G",2,8087.42,1,0,2.67,-999,-999
"Ondatra zibethicus","C","EMML_AACT","G",2,1065.75,1,0,6.55,-999,-999
"Neovison vison","C","EMML_AACT","G",4,1150,1,0,-999,-999,-999
"Helogale parvula","A","EMML_AS","G",3,300,0,1,3.49,-999,-999
"Hystrix cristata","A","EMML_AS","G",2,16250,1,0,1.73,-999,-999
"Petrodromus tetradactylus","A","EMML_AS","G",1,187.5,0,1,1,-999,1.5
"Rhynchocyon chrysopygus","A","EMML_AS","G",1,540,0,1,1.22,2,2
"Cricetomys gambianus","A","EMML_AS","G",4,1271,1,0,3.11,-999,-999
"Paraxerus palliatus","A","EMML_AS","S",3,309.31,0,1,1.6,1.87,1
"Orycteropus afer","B","EMML_AS","G",1,52350.4,1,0,1.1,-999,1
"Cephalophus adersi","B","EMML_AS","G",3,9249.96,1,0,1,1.5,1.5
"Syncerus caffer","B","EMML_AS","G",1,580002.68,1,0,1.08,3000,12
"Civettictis civetta","B","EMML_AS","G",6,11999.97,1,0,2.31,-999,-999
"Loxodonta africana","B","EMML_AS","G",1,3940034.28,1,1,0.84,-999,19.5
"Cercopithecus mitis","B","EMML_AS","Ar",4,5000,0,1,1,-999,16
"Tragelaphus scriptus","B","EMML_AS","G",1,43250.39,1,1,1,-999,1
"Potamochoerus larvatus","B","EMML_AS","G",4,48781.25,1,0,2.73,7.2,8
"Lepus capensis","B","EMML_AS","G",1,3261.67,1,0,2.44,-999,-999
"Caracal caracal","B","EMML_AS","G",1,13749.91,1,0,2.3,-999,-999
"Genetta maculata","B","EMML_AS","Ar",3,2225,1,0,2.12,-999,-999
"Sylvicapra grimmia","B","EMML_AS","G",3,19499.79,1,0,0.98,-999,1
"Phacochoerus africanus","B","EMML_AS","G",3,82500,1,0,-999,-999,-999
"Mellivora capensis","B","EMML_AS","G",5,8500,0,1,2.35,-999,-999
"Madoqua kirkii","B","EMML_AS","G",1,5300.05,1,1,0.98,-999,2.5
"Otolemur garnettii","B","EMML_AS","Ar",3,760,1,0,1.02,-999,1
"Ichneumia albicauda","B","EMML_AS","G",4,3500.02,1,0,2.35,-999,-999
"Papio cynocephalus","B","EMML_AS","G",4,15822.15,0,1,1.01,52.3,48.2
"Otocyon megalotis","C","EMML_AS","G",4,4150.02,1,1,4,-999,-999
"Chlorocebus pygerythrus","C","EMML_AS","S",4,4993,0,1,-999,-999,-999
"Cricetomys ansorgei","C","EMML_AS","G",4,1285.41,1,0,-999,-999,-999
"Kobus ellipsiprymnus","C","EMML_AS","G",1,210000.34,1,1,1,-999,12
"Proteles cristata","C","EMML_AS","G",1,8139.39,1,0,2.64,-999,-999
"Ceratotherium simum","C","EMML_AS","G",1,2949986.31,1,1,1,3.75,3.75
"Diceros bicornis","C","EMML_AS","G",1,1180510.9,1,0,1,1,1
"Felis silvestris","C","EMML_AS","G",3,5099.99,1,0,3.59,-999,-999
"Heterohyrax brucei","C","EMML_AS","S",1,2625,0,1,1.89,34,17.5
"Philantomba monticola","C","EMML_AS","G",3,4896.05,1,0,0.98,-999,1.9
"Nanger granti","C","EMML_AS","G",1,55464.46,0,1,1,40,40
"Panthera pardus","C","EMML_AS","G",1,52038.22,1,0,2.14,1,1
"Genetta genetta","C","EMML_AS","Ar",3,1800,1,0,2.29,-999,-999
"Canis adustus","C","EMML_AS","G",4,10249.91,1,0,4.5,-999,-999
"Ictonyx striatus","C","EMML_AS","G",4,1299.99,1,0,2.3,-999,-999
"Otolemur crassicaudatus","C","EMML_AS","Ar",3,1500,1,0,1.14,-999,3.5
"Herpestes ichneumon","C","EMML_AS","G",5,5174.98,1,1,3,-999,-999
"Thryonomys gregorianus","C","EMML_AS","G",3,2707.14,1,0,2.91,-999,1
"Canis mesomelas","C","EMML_AS","G",4,8500.02,1,1,3.89,-999,-999
"Hyaena hyaena","C","EMML_AS","G",4,41705.11,1,0,2.44,-999,-999
"Aepyceros melampus","C","EMML_AS","G",1,52500.08,1,1,0.98,-999,15.25
"Crocuta crocuta","C","EMML_AS","G",1,66492.06,1,0,1.91,-999,-999
"Redunca redunca","C","EMML_AS","G",1,44050.41,1,1,1,-999,-999
"Mungos mungo","C","EMML_AS","G",2,1925,0,1,2.68,-999,-999
"Aonyx capensis","C","EMML_AS","G",2,18999.84,1,0,2.62,-999,-999
"Leptailurus serval","C","EMML_AS","G",1,11999.97,1,0,2.35,-999,-999
"Thryonomys swinderianus","C","EMML_AS","G",3,3180.02,1,0,3.88,-999,1
"Atilax paludinosus","C","EMML_AS","G",4,3299.97,1,0,2,-999,-999
"Tamias striatus","A","EMML_ATP","G",4,111.91,0,1,-999,-999,-999
"Spilogale putorius","A","EMML_ATP","G",3,341,1,0,5.07,-999,-999
"Glaucomys volans","A","EMML_ATP","Ar",3,63.87,1,0,3.13,-999,-999
"Sus scrofa","A","EMML_ATP","G",5,96118.09,1,0,4.52,-999,13
"Mustela frenata","A","EMML_ATP","G",1,147,1,1,6.5,-999,-999
"Ursus americanus","B","EMML_ATP","G",4,99949.36,1,0,2.39,-999,-999
"Sciurus carolinensis","B","EMML_ATP","Ar",3,506.5,0,1,2.98,-999,1
"Procyon lotor","B","EMML_ATP","G",4,5524.97,1,0,3.06,-999,-999
"Odocoileus virginianus","B","EMML_ATP","G",2,55508.56,1,0,1.57,-999,2.25
"Didelphis virginiana","B","EMML_ATP","S",4,2195.48,1,0,8.62,-999,1
"Canis latrans","B","EMML_ATP","G",3,13406.33,1,0,5.72,-999,-999
"Lynx rufus","B","EMML_ATP","G",1,8904.1,1,0,2.76,-999,-999
"Mephitis mephitis","B","EMML_ATP","G",5,2085.02,1,0,5.7,-999,-999
"Sciurus niger","B","EMML_ATP","Ar",3,761.9,0,1,-999,-999,-999
"Sylvilagus floridanus","B","EMML_ATP","G",1,1172.79,1,0,4.62,-999,-999
"Marmota monax","B","EMML_ATP","G",3,3801.72,0,1,4.1,-999,1
"Vulpes vulpes","B","EMML_ATP","G",3,5476.17,1,0,4.59,-999,-999
"Urocyon cinereoargenteus","B","EMML_ATP","G",5,3833.72,1,0,3.71,-999,-999
"Martes pennanti","B","EMML_ATP","S",2,4000,1,1,3.02,-999,-999
"Taxidea taxus","C","EMML_ATP","G",3,7107.55,1,0,2.76,-999,-999
"Lepus europaeus","C","EMML_ATP","G",1,3740,1,0,2.14,-999,-999
"Lepus americanus","C","EMML_ATP","G",1,1710.02,1,0,3.54,-999,-999
"Sylvilagus obscurus","C","EMML_ATP","G",1,1218.45,1,0,-999,-999,-999
"Castor canadensis","C","EMML_ATP","G",1,21820,1,0,3.6,-999,5.1
"Lontra canadensis","C","EMML_ATP","G",2,8087.42,1,0,2.67,-999,-999
"Ondatra zibethicus","C","EMML_ATP","G",2,1065.75,1,0,6.55,-999,-999
"Neovison vison","C","EMML_ATP","G",4,1150,1,0,-999,-999,-999
"Lynx rufus","A","EMML_CBWC","G",1,8904.1,1,0,2.76,-999,-999
"Tamias striatus","A","EMML_CBWC","G",4,111.91,0,1,-999,-999,-999
"Mustela erminea","A","EMML_CBWC","G",4,119.38,1,0,6.74,-999,-999
"Sciurus carolinensis","B","EMML_CBWC","Ar",3,506.5,0,1,2.98,-999,1
"Odocoileus virginianus","B","EMML_CBWC","G",2,55508.56,1,0,1.57,-999,2.25
"Procyon lotor","B","EMML_CBWC","G",4,5524.97,1,0,3.06,-999,-999
"Canis latrans","B","EMML_CBWC","G",3,13406.33,1,0,5.72,-999,-999
"Vulpes vulpes","B","EMML_CBWC","G",3,5476.17,1,0,4.59,-999,-999
"Sylvilagus floridanus","B","EMML_CBWC","G",1,1172.79,1,0,4.62,-999,-999
"Didelphis virginiana","B","EMML_CBWC","S",4,2195.48,1,0,8.62,-999,1
"Urocyon cinereoargenteus","C","EMML_CBWC","G",5,3833.72,1,0,3.71,-999,-999
"Ursus americanus","C","EMML_CBWC","G",4,99949.36,1,0,2.39,-999,-999
"Martes pennanti","C","EMML_CBWC","S",2,4000,1,1,3.02,-999,-999
"Lepus americanus","C","EMML_CBWC","G",1,1710.02,1,0,3.54,-999,-999
