"speciesScientificName","order"
"Epomops dobsonii","Chiroptera"
"Epomops dobsonii","Chiroptera"
"Paradoxurus jerdoni","Carnivora"
"Lophostoma occidentalis","Chiroptera"
"Microcebus boraha","Primates"
"Pseudomys pilligaensis","Rodentia"
"Echiothrix leucura","Rodentia"
"Echiothrix leucura","Rodentia"
"Prosciurillus topapuensis","Rodentia"
"Hipposideros pygmaeus","Chiroptera"
"Hipposideros pygmaeus","Chiroptera"
"Hipposideros pygmaeus","Chiroptera"
"Hipposideros pygmaeus","Chiroptera"
"Hipposideros pygmaeus","Chiroptera"
"Hipposideros pygmaeus","Chiroptera"
"Hipposideros pygmaeus","Chiroptera"
"Gerbillus henleyi","Rodentia"
"Akodon dayi","Rodentia"
"Macronycteris gigas","Chiroptera"
"Macronycteris gigas","Chiroptera"
"Macronycteris gigas","Chiroptera"
"Rhinolophus pusillus","Chiroptera"
"Rhinolophus pusillus","Chiroptera"
"Rhinolophus pusillus","Chiroptera"
"Rhinolophus pusillus","Chiroptera"
"Rhinolophus pusillus","Chiroptera"
"Lemniscomys barbarus","Rodentia"
"Lasiurus ega","Chiroptera"
"Genetta cristata","Carnivora"
"Pithecia irrorata","Primates"
"Pogonomys championi","Rodentia"
"Thomasomys ischyrus","Rodentia"
"Eptesicus guadeloupensis","Chiroptera"
"Eptesicus guadeloupensis","Chiroptera"
"Callithrix kuhlii","Primates"
"Glischropus tylopus","Chiroptera"
"Glischropus tylopus","Chiroptera"
"Glischropus tylopus","Chiroptera"
"Glischropus tylopus","Chiroptera"
"Glischropus tylopus","Chiroptera"
"Callosciurus albescens","Rodentia"
"Scotophilus robustus","Chiroptera"
"Hipposideros stenotis","Chiroptera"
"Hipposideros stenotis","Chiroptera"
"Hipposideros stenotis","Chiroptera"
"Hipposideros stenotis","Chiroptera"
"Euchoreutes naso","Rodentia"
"Nyctophilus howensis","Chiroptera"
"Ctenomys australis","Rodentia"
"Diplomesodon pulchellum","Eulipotyphla"
"Archboldomys luzonensis","Rodentia"
"Reithrodontomys sumichrasti","Rodentia"
"Xerospermophilus tereticaudus","Rodentia"
"Paracrocidura graueri","Eulipotyphla"
"Octomys mimax","Rodentia"
"Maxomys musschenbroekii","Rodentia"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Felis margarita","Carnivora"
"Microgale majori","Afrosoricida"
"Antechinus godmani","Dasyuromorphia"
"Galenomys garleppi","Rodentia"
"Macaca arctoides","Primates"
"Macaca arctoides","Primates"
"Macaca arctoides","Primates"
"Dendrohyrax dorsalis","Hyracoidea"
"Dendrohyrax dorsalis","Hyracoidea"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Erophylla sezekorni","Chiroptera"
"Herpailurus yagouaroundi","Carnivora"
"Notocitellus adocetus","Rodentia"
"Coendou prehensilis","Rodentia"
"Coendou prehensilis","Rodentia"
"Bullimus gamay","Rodentia"
"Bullimus gamay","Rodentia"
"Nasua narica","Carnivora"
"Nasua narica","Carnivora"
"Thylogale calabyi","Diprotodontia"
"Thylogale calabyi","Diprotodontia"
"Thylogale calabyi","Diprotodontia"
"Maxomys pagensis","Rodentia"
"Akodon dolores","Rodentia"
"Oligoryzomys flavescens","Rodentia"
"Chalinolobus neocaledonicus","Chiroptera"
"Peromyscus leucopus","Rodentia"
"Lasiorhinus latifrons","Diprotodontia"
"Lasiorhinus latifrons","Diprotodontia"
"Myodes rufocanus","Rodentia"
"Myodes rufocanus","Rodentia"
"Myodes rufocanus","Rodentia"
"Myodes rufocanus","Rodentia"
"Myodes rufocanus","Rodentia"
"Myodes rufocanus","Rodentia"
"Myodes rufocanus","Rodentia"
"Chiropodomys calamianensis","Rodentia"
"Cryptotis venezuelensis","Eulipotyphla"
"Neodon linzhiensis","Rodentia"
"Dendrolagus bennettianus","Diprotodontia"
"Plecturocebus olallae","Primates"
"Leopardus wiedii","Carnivora"
"Vulpes zerda","Carnivora"
"Reithrodontomys humulis","Rodentia"
"Echinosorex gymnura","Eulipotyphla"
"Echinosorex gymnura","Eulipotyphla"
"Echinosorex gymnura","Eulipotyphla"
"Echinosorex gymnura","Eulipotyphla"
"Echinosorex gymnura","Eulipotyphla"
"Pedetes capensis","Rodentia"
"Gerbillus poecilops","Rodentia"
"Dorcopsulus vanheurni","Diprotodontia"
"Plecotus kolombatovici","Chiroptera"
"Plecotus kolombatovici","Chiroptera"
"Plecotus kolombatovici","Chiroptera"
"Plecotus kolombatovici","Chiroptera"
"Oxymycterus inca","Rodentia"
"Microgale jenkinsae","Afrosoricida"
"Dremomys pyrrhomerus","Rodentia"
"Macroscelides proboscideus","Macroscelidea"
"Heterogeomys cherriei","Rodentia"
"Heterogeomys cherriei","Rodentia"
"Connochaetes gnou","Cetartiodactyla"
"Cercartetus nanus","Diprotodontia"
"Cercartetus nanus","Diprotodontia"
"Cercartetus nanus","Diprotodontia"
"Cercartetus nanus","Diprotodontia"
"Mormopterus francoismoutoui","Chiroptera"
"Semnopithecus hypoleucos","Primates"
"Hipposideros curtus","Chiroptera"
"Heteromys desmarestianus","Rodentia"
"Myzopoda schliemanni","Chiroptera"
"Pteronotus davyi","Chiroptera"
"Pteronotus davyi","Chiroptera"
"Pteronotus davyi","Chiroptera"
"Pteronotus davyi","Chiroptera"
"Microperoryctes murina","Peramelemorphia"
"Echymipera clara","Peramelemorphia"
"Echymipera clara","Peramelemorphia"
"Spalax graecus","Rodentia"
"Alouatta sara","Primates"
"Crocidura aleksandrisi","Eulipotyphla"
"Lepus starcki","Lagomorpha"
"Crocidura orii","Eulipotyphla"
"Crocidura orii","Eulipotyphla"
"Crocidura orii","Eulipotyphla"
"Pteropus rennelli","Chiroptera"
"Scotozous dormeri","Chiroptera"
"Isothrix bistriata","Rodentia"
"Ctenomys coludo","Rodentia"
"Gerbillus watersi","Rodentia"
"Sorex portenkoi","Eulipotyphla"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Niviventer cremoriventer","Rodentia"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Cercopithecus mitis","Primates"
"Pseudochirulus larvatus","Diprotodontia"
"Pseudochirulus larvatus","Diprotodontia"
"Anoura aequatoris","Chiroptera"
"Proedromys liangshanensis","Rodentia"
"Miniopterus fraterculus","Chiroptera"
"Miniopterus fraterculus","Chiroptera"
"Gerbillus nancillus","Rodentia"
"Gerbillus nancillus","Rodentia"
"Cercartetus caudatus","Diprotodontia"
"Cercartetus caudatus","Diprotodontia"
"Cercartetus caudatus","Diprotodontia"
"Taphozous kapalgensis","Chiroptera"
"Graomys domorum","Rodentia"
"Neoromicia tenuipinnis","Chiroptera"
"Neoromicia tenuipinnis","Chiroptera"
"Volemys millicens","Rodentia"
"Crocidura baluensis","Eulipotyphla"
"Gerbillus nanus","Rodentia"
"Gerbillus nanus","Rodentia"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Capra aegagrus","Cetartiodactyla"
"Saimiri boliviensis","Primates"
"Saimiri boliviensis","Primates"
"Otocyon megalotis","Carnivora"
"Otocyon megalotis","Carnivora"
"Caluromys derbianus","Didelphimorphia"
"Proechimys brevicauda","Rodentia"
"Boselaphus tragocamelus","Cetartiodactyla"
"Neotoma goldmani","Rodentia"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Megaderma spasma","Chiroptera"
"Potorous tridactylus","Diprotodontia"
"Potorous tridactylus","Diprotodontia"
"Potorous tridactylus","Diprotodontia"
"Potorous tridactylus","Diprotodontia"
"Potorous tridactylus","Diprotodontia"
"Potorous tridactylus","Diprotodontia"
"Potorous tridactylus","Diprotodontia"
"Taphozous theobaldi","Chiroptera"
"Taphozous theobaldi","Chiroptera"
"Taphozous theobaldi","Chiroptera"
"Vandeleuria oleracea","Rodentia"
"Chrysochloris visagiei","Afrosoricida"
"Marmosa lepida","Didelphimorphia"
"Hybomys basilii","Rodentia"
"Hypsugo savii","Chiroptera"
"Hypsugo savii","Chiroptera"
"Paradoxurus zeylonensis","Carnivora"
"Muntiacus feae","Cetartiodactyla"
"Naemorhedus baileyi","Cetartiodactyla"
"Cryptotis obscura","Eulipotyphla"
"Myotis chinensis","Chiroptera"
"Myotis chinensis","Chiroptera"
"Myotis chinensis","Chiroptera"
"Nyctophilus daedalus","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Nyctophilus bifax","Chiroptera"
"Rhinopithecus strykeri","Primates"
"Presbytis sabana","Primates"
"Myospalax psilurus","Rodentia"
"Chlorocebus tantalus","Primates"
"Chlorocebus tantalus","Primates"
"Chlorocebus tantalus","Primates"
"Crocidura eisentrauti","Eulipotyphla"
"Thomasomys ucucha","Rodentia"
