"speciesScientificName","projectID","distance"
"Hystrix cristata","EMML_AS",128545.487358808
"Cricetomys gambianus","EMML_AS",738887.266480144
"Sus scrofa","EMML_ATP",5366526.39215238
"Lynx rufus","EMML_CBWC",9654.57770415507
"Herpestes urva","EMML_DYTP",781866.005846309
"Muntiacus muntjak","EMML_DYTP",604136.711718463
"Canis aureus","EMML_DYTP",5123.35296737941
"Herpestes urva","EMML_HKK",1041489.78389452
"Tapirus indicus","EMML_HKK",10390.6633926472
"Muntiacus muntjak","EMML_HKK",661483.313632767
"Sciurus carolinensis","EMML_LEAF",1026738.27476304
"Atherurus africanus","EMML_MKS",1139.74513439093
"Hystrix cristata","EMML_MKS",225782.938969761
"Sus scrofa","EMML_NCCC",5602826.52230909
"Cervus elaphus","EMML_NCCC",5302227.48056573
"Puma concolor","EMML_PA",24030.2064897391
"Cebus albifrons","EMML_PA",602898.063430406
"Sus scrofa","EMML_REMA",5547526.40283238
"Oryx beisa","EMML_SDK",1661.4866940008
"Hystrix cristata","EMML_SDK",219970.795329621
"Giraffa camelopardalis","EMML_SDK",21980.447886947
"Hippopotamus amphibius","EMML_SDK",43885.9597832861
"Xerus erythropus","EMML_SDK",25569.8494938664
"Cephalophus silvicultor","EMML_SDK",134578.101248662
"Cephalophus spadix","EMML_SH",90301.5420831691
"Bdeogale crassicauda","EMML_SH",59582.1767663757
"Hystrix cristata","EMML_SH",17595.704935917
"Phacochoerus aethiopicus","EMML_SH",52353.3699428029
"Cricetomys gambianus","EMML_SH",763153.711909581
"Papio anubis","EMML_SH",67785.2680224298
"Lepus saxatilis","GC",4498446.14829013
"Puma concolor","ITBD",184329.626131321
"Tragulus javanicus","TEAMS_BBS",135473.177793271
"Presbytis melalophos","TEAMS_BBS",120468.120450474
"Pardofelis marmorata","TEAMS_BBS",15790.7144475653
"Sylvilagus brasiliensis","TEAMS_BCI",5266978.62122804
"Cebus capucinus","TEAMS_BCI",24886.2694073544
"Genetta genetta","TEAMS_BIF",106920.275367995
"Canis lupus","TEAMS_BIF",2131594.1724204
"Genetta tigrina","TEAMS_BIF",3141704.07657471
"Genetta victoriae","TEAMS_BIF",4272.33775590846
"Colobus angolensis","TEAMS_BIF",66606.0307854955
"Atelocynus microtis","TEAMS_CAX",63715.5730787174
"Mazama nana","TEAMS_CAX",2412541.80240908
"Dasypus kappleri","TEAMS_COU",7904.98598350488
"Sylvilagus brasiliensis","TEAMS_COU",3856785.36431709
"Cebus albifrons","TEAMS_COU",1373301.12144261
"Saimiri sciureus","TEAMS_COU",1517964.9428135
"Didelphis virginiana","TEAMS_COU",2778891.97671008
"Genetta servalina","TEAMS_KRP",181202.291244656
"Crossarchus obscurus","TEAMS_KRP",945662.859232005
"Pithecia pithecia","TEAMS_MAS",274682.239581148
"Muntiacus muntjak","TEAMS_NAK",1101179.75866281
"Herpestes urva","TEAMS_NAK",459780.457099145
"Tragulus javanicus","TEAMS_NAK",2677982.60729188
"Tapirus indicus","TEAMS_PSH",18197.6528477194
"Cuon alpinus","TEAMS_PSH",58870.1125275816
"Helarctos malayanus","TEAMS_PSH",7209.97256047103
"Capricornis sumatraensis","TEAMS_PSH",13531.2786352602
"Prionailurus planiceps","TEAMS_PSH",7312.87326888761
"Viverra megaspila","TEAMS_PSH",219707.729905107
"Herpestes urva","TEAMS_PSH",1834171.65813338
"Potamochoerus larvatus","TEAMS_RNF",953192.096644471
"Eulemur fulvus","TEAMS_RNF",153895.45243463
"Canis lupus","TEAMS_RNF",3746486.95872328
"Loxodonta africana","TEAMS_UDZ",9079.44859957231
"Canis lupus","TEAMS_VB",3527196.55102675
"Cebus capucinus","TEAMS_VB",480691.006804448
"Puma concolor","TEAMS_YAN",245552.728207366
"Eira barbara","TEAMS_YAN",110650.217015841
"Procyon cancrivorus","TEAMS_YAN",71168.9923656625
"Leopardus wiedii","TEAMS_YAN",71122.3780431365
"Myrmecophaga tridactyla","TEAMS_YAN",44972.9936911062
"Dasypus kappleri","TEAMS_YAN",26887.7453385457
"Cebus albifrons","TEAMS_YAN",1450897.17046068
"Cabassous unicinctus","TEAMS_YAN",88766.1300569488
"Atelocynus microtis","TEAMS_YAN",98795.825668792
"Saimiri sciureus","TEAMS_YAS",1610166.35882348
"Cebus albifrons","TEAMS_YAS",568068.451671161
"Sylvilagus brasiliensis","TEAMS_YAS",4575624.70151385
"Mazama gouazoubira","TEAMS_YAS",1017297.88708513
"Herpestes urva","XSBN_MLG",755438.416437607
"Herpestes urva","XSBN_MLU",814587.259523725
"Arctonyx collaris","XSBN_NBH",50350.2665577723
"Herpestes urva","XSBN_NBH",881870.073339713
"Naemorhedus goral","XSBN_NBH",866654.414378741
"Muntiacus montanus","TEAMS_BBS",265919.724664419
"Herpailurus yagouaroundi","TEAMS_BCI",5691.17348847235
"Herpestes sanguineus","TEAMS_KRP",159034.418266655
"Philander mondolfii","TEAMS_NNN",8586079.38210244
"Herpailurus yagouaroundi","TEAMS_YAN",22141.8878198689
