"name","frq","year"
"Tamiasciurus hudsonicus","3","2016"
"Tamias striatus","3","2016"
"Mustela erminea","3","2016"
"Mustela frenata","3","2016"
"Mephitis mephitis","3","2016"
"Odocoileus virginianus","3","2016"
"Procyon lotor","3","2016"
"Canis latrans","4","2018"
"Martes pennanti","4","2018"
"Vulpes vulpes","5","2021"
"Sciurus carolinensis","4","2018"
"Sylvilagus floridanus","3","2019"
"Urocyon cinereoargenteus","4","2016"
"Didelphis virginiana","3","2016"
"Erethizon dorsatum","3","2016"
"Ursus americanus","3","2016"
"Lepus americanus","3","2019"
"Lynx rufus","4","2016"
"Marmota monax","3","2016"
"Castor canadensis","5","2016"
"Lontra canadensis","4","2015"
"Ondatra zibethicus","3","2016"
"Neovison vison","3","2016"
"Helogale parvula","3","2015"
"Hystrix cristata","4","2016"
"Petrodromus tetradactylus","4","2015"
"Rhynchocyon chrysopygus","6","2015"
"Cricetomys gambianus","1","2019"
"Paraxerus palliatus","4","2016"
"Orycteropus afer","5","2015"
"Cephalophus adersi","8","2017"
"Syncerus caffer","3","2019"
"Civettictis civetta","4","2019"
"Loxodonta africana","1","2021"
"Cercopithecus mitis","5","2019"
"Tragelaphus scriptus","3","2016"
"Potamochoerus larvatus","3","2016"
"Lepus capensis","3","2019"
"Caracal caracal","4","2016"
"Genetta maculata","3","2016"
"Sylvicapra grimmia","3","2016"
"Phacochoerus africanus","3","2016"
"Mellivora capensis","3","2016"
"Madoqua kirkii","3","2016"
"Otolemur garnettii","5","2019"
"Ichneumia albicauda","3","2015"
"Papio cynocephalus","2","2020"
"Otocyon megalotis","4","2014"
"Chlorocebus pygerythrus","2","2019"
"Cricetomys ansorgei","1","2019"
"Kobus ellipsiprymnus","3","2016"
"Proteles cristata","3","2015"
"Ceratotherium simum","9","2020"
"Diceros bicornis","12","2020"
"Felis silvestris","1","2015"
"Heterohyrax brucei","4","2015"
"Philantomba monticola","3","2016"
"Nanger granti","3","2016"
"Panthera pardus","8","2020"
"Genetta genetta","3","2015"
"Canis adustus","4","2014"
"Ictonyx striatus","3","2015"
"Otolemur crassicaudatus","5","2019"
"Herpestes ichneumon","3","2016"
"Thryonomys gregorianus","4","2017"
"Canis mesomelas","4","2014"
"Hyaena hyaena","4","2015"
"Aepyceros melampus","3","2016"
"Crocuta crocuta","3","2015"
"Redunca redunca","3","2016"
"Mungos mungo","3","2016"
"Aonyx capensis","5","2015"
"Leptailurus serval","5","2019"
"Thryonomys swinderianus","4","2016"
"Atilax paludinosus","3","2015"
"Spilogale putorius","3","2016"
"Glaucomys volans","3","2016"
"Sus scrofa","3","2019"
"Sciurus niger","4","2016"
"Taxidea taxus","3","2016"
"Lepus europaeus","3","2019"
"Sylvilagus obscurus","3","2019"
"Spilogale gracilis","2","2016"
"Bassariscus astutus","3","2016"
"Pecari tajacu","3","2011"
"Nasua narica","3","2016"
"Puma concolor","4","2015"
"Conepatus leuconotus","2","2016"
"Mephitis macroura","3","2016"
"Odocoileus hemionus","3","2016"
"Lepus californicus","3","2019"
"Vulpes macrotis","4","2014"
"Ovis canadensis","3","2020"
"Sylvilagus audubonii","3","2019"
"Antilocapra americana","3","2016"
"Cynomys ludovicianus","4","2016"
"Herpestes urva","3","2015"
"Menetes berdmorei","3","2016"
"Muntiacus muntjak","3","2016"
"Callosciurus finlaysonii","3","2017"
"Canis aureus","1","2018"
"Tupaia belangeri","3","2016"
"Elephas maximus","8","2020"
"Atherurus macrourus","4","2020"
"Bos javanicus","8","2016"
"Paradoxurus hermaphroditus","3","2016"
"Ursus thibetanus","6","2020"
"Viverra zibetha","4","2016"
"Prionailurus bengalensis","4","2015"
"Tragulus kanchil","2","2015"
"Hystrix brachyura","3","2016"
"Macaca leonina","3","2020"
"Rusa unicolor","3","2015"
"Capricornis sumatraensis","1","2020"
"Helarctos malayanus","5","2017"
"Neofelis nebulosa","9","2016"
"Cuon alpinus","8","2015"
"Melogale personata","3","2016"
"Pardofelis marmorata","9","2016"
"Herpestes javanicus","1","2016"
"Viverricula indica","3","2015"
"Prionodon pardicolor","3","2016"
"Manis javanica","4","2019"
"Martes flavigula","5","2016"
"Arctictis binturong","3","2016"
"Arctonyx collaris","1","2016"
"Rhizomys pruinosus","3","2016"
"Arctogalidia trivirgata","3","2016"
"Paguma larvata","3","2016"
"Lepus peguensis","3","2019"
"Nycticebus bengalensis","3","2020"
"Panthera tigris","10","2015"
"Hylobates pileatus","8","2020"
"Petaurista philippensis","3","2016"
"Ratufa bicolor","3","2016"
"Bandicota indica","3","2016"
"Catopuma temminckii","8","2015"
"Cannomys badius","3","2016"
"Felis chaus","4","2016"
"Rhizomys sumatrensis","3","2016"
"Viverra megaspila","3","2016"
"Macaca fascicularis","4","2020"
"Lutrogale perspicillata","8","2015"
"Tapirus indicus","9","2016"
"Macaca arctoides","5","2020"
"Muntiacus feae","3","2016"
"Macaca assamensis","4","2020"
"Prionodon linsang","3","2016"
"Trachypithecus phayrei","3","2020"
"Petaurista elegans","3","2016"
"Hylobates lar","4","2020"
"Mustela strigidorsa","4","2016"
"Petaurista petaurista","3","2016"
"Trachypithecus germaini","4","2021"
"Trachypithecus barbei","2","2021"
"Lutra lutra","5","2015"
"Sylvilagus transitionalis","3","2019"
"Sylvilagus palustris","3","2019"
"Alces alces","1","2016"
"Phoca vitulina","3","2016"
"Tamiasciurus douglasii","3","2016"
"Glaucomys sabrinus","3","2016"
"Aplodontia rufa","4","2016"
"Marmota caligata","4","2018"
"Martes americana","3","2016"
"Atherurus africanus","4","2016"
"Atelerix albiventris","3","2016"
"Cephalophus nigrifrons","3","2016"
"Lophiomys imhausi","4","2016"
"Bdeogale jacksoni","6","2015"
"Procavia capensis","4","2015"
"Dendrohyrax arboreus","4","2015"
"Raphicerus campestris","3","2016"
"Redunca fulvorufula","4","2017"
"Alcelaphus buselaphus","4","2019"
"Tragelaphus strepsiceros","3","2016"
"Tragelaphus eurycerus","3","2016"
"Equus quagga","4","2016"
"Oreotragus oreotragus","3","2016"
"Nandinia binotata","3","2015"
"Hylochoerus meinertzhageni","3","2016"
"Colobus guereza","5","2019"
"Genetta servalina","4","2016"
"Papio anubis","4","2020"
"Hydrictis maculicollis","5","2015"
"Cervus elaphus","2","2018"
"Neotoma floridana","3","2016"
"Sylvilagus aquaticus","3","2019"
"Ammospermophilus harrisii","3","2016"
"Neotoma albigula","3","2016"
"Dipodomys merriami","1","2016"
"Dipodomys deserti","3","2016"
"Lepus alleni","3","2019"
"Philander andersoni","3","2016"
"Metachirus nudicaudatus","4","2015"
"Cebus albifrons","6","2020"
"Dasyprocta fuliginosa","3","2016"
"Didelphis marsupialis","4","2021"
"Speothos venaticus","9","2011"
"Myrmecophaga tridactyla","10","2014"
"Priodontes maximus","11","2014"
"Galictis vittata","3","2016"
"Panthera onca","8","2017"
"Tapirus terrestris","4","2019"
"Leopardus wiedii","9","2015"
"Leopardus pardalis","8","2015"
"Mazama americana","4","2016"
"Atelocynus microtis","8","2011"
"Nasua nasua","3","2016"
"Tamandua tetradactyla","5","2014"
"Cuniculus paca","3","2016"
"Eira barbara","3","2016"
"Tayassu pecari","3","2013"
"Coendou prehensilis","1","2016"
"Myoprocta pratti","2","2016"
"Echimys saturnus","3","2016"
"Mustela africana","4","2016"
"Alouatta seniculus","5","2020"
"Sciurus igniventris","3","2016"
"Leopardus tigrinus","1","2016"
"Choloepus didactylus","5","2014"
"Bradypus variegatus","5","2014"
"Cabassous unicinctus","5","2014"
"Ateles belzebuth","10","2019"
"Potos flavus","3","2016"
"Dasypus novemcinctus","5","2014"
"Dasypus kappleri","5","2014"
"Bassaricyon alleni","1","2016"
"Aotus vociferans","5","2021"
"Dactylomys dactylinus","3","2016"
"Coendou bicolor","3","2016"
"Dinomys branickii","5","2017"
"Chironectes minimus","3","2016"
"Hydrochoerus hydrochaeris","3","2016"
"Lontra longicaudis","10","2015"
"Pteronura brasiliensis","11","2015"
"Procyon cancrivorus","3","2016"
"Mustela nivalis","1","2016"
"Oryx beisa","3","2018"
"Giraffa camelopardalis","5","2018"
"Hippopotamus amphibius","4","2017"
"Xerus erythropus","4","2016"
"Xerus rutilus","4","2016"
"Cephalophus silvicultor","3","2016"
"Lycaon pictus","9","2020"
"Litocranius walleri","3","2016"
"Equus grevyi","8","2016"
"Madoqua guentheri","3","2016"
"Tragelaphus imberbis","3","2016"
"Eudorcas thomsonii","3","2018"
"Acinonyx jubatus","8","2015"
