"name","frq","year","IUCN_cat"
"Tamiasciurus hudsonicus","3","2016","LC"
"Tamias striatus","3","2016","LC"
"Mustela erminea","3","2016","LC"
"Mustela frenata","3","2016","LC"
"Mephitis mephitis","3","2016","LC"
"Odocoileus virginianus","3","2016","LC"
"Procyon lotor","3","2016","LC"
"Canis latrans","4","2018","LC"
"Martes pennanti","4","2018","LC"
"Vulpes vulpes","5","2021","LC"
"Sciurus carolinensis","4","2018","LC"
"Sylvilagus floridanus","3","2019","LC"
"Urocyon cinereoargenteus","4","2016","LC"
"Didelphis virginiana","3","2016","LC"
"Erethizon dorsatum","3","2016","LC"
"Ursus americanus","3","2016","LC"
"Lepus americanus","3","2019","LC"
"Lynx rufus","4","2016","LC"
"Marmota monax","3","2016","LC"
"Castor canadensis","5","2016","LC"
"Lontra canadensis","4","2015","LC"
"Ondatra zibethicus","3","2016","LC"
"Neovison vison","3","2016","LC"
"Helogale parvula","3","2015","LC"
"Hystrix cristata","4","2016","LC"
"Petrodromus tetradactylus","4","2015","LC"
"Rhynchocyon chrysopygus","6","2015","EN"
"Cricetomys gambianus","1","2019","LC"
"Paraxerus palliatus","4","2016","LC"
"Orycteropus afer","5","2015","LC"
"Cephalophus adersi","8","2017","VU"
"Syncerus caffer","3","2019","NT"
"Civettictis civetta","4","2019","LC"
"Loxodonta africana","1","2021","EN"
"Cercopithecus mitis","5","2019","LC"
"Tragelaphus scriptus","3","2016","LC"
"Potamochoerus larvatus","3","2016","LC"
"Lepus capensis","3","2019","LC"
"Caracal caracal","4","2016","LC"
"Genetta maculata","3","2016","LC"
"Sylvicapra grimmia","3","2016","LC"
"Phacochoerus africanus","3","2016","LC"
"Mellivora capensis","3","2016","LC"
"Madoqua kirkii","3","2016","LC"
"Otolemur garnettii","5","2019","LC"
"Ichneumia albicauda","3","2015","LC"
"Papio cynocephalus","2","2020","LC"
"Otocyon megalotis","4","2014","LC"
"Chlorocebus pygerythrus","2","2019","LC"
"Cricetomys ansorgei","1","2019","LC"
"Kobus ellipsiprymnus","3","2016","LC"
"Proteles cristata","3","2015","LC"
"Ceratotherium simum","9","2020","NT"
"Diceros bicornis","12","2020","CR"
"Felis silvestris","1","2015","LC"
"Heterohyrax brucei","4","2015","LC"
"Philantomba monticola","3","2016","LC"
"Nanger granti","3","2016","LC"
"Panthera pardus","8","2020","VU"
"Genetta genetta","3","2015","LC"
"Canis adustus","4","2014","LC"
"Ictonyx striatus","3","2015","LC"
"Otolemur crassicaudatus","5","2019","LC"
"Herpestes ichneumon","3","2016","LC"
"Thryonomys gregorianus","4","2017","LC"
"Canis mesomelas","4","2014","LC"
"Hyaena hyaena","4","2015","NT"
"Aepyceros melampus","3","2016","LC"
"Crocuta crocuta","3","2015","LC"
"Redunca redunca","3","2016","LC"
"Mungos mungo","3","2016","LC"
"Aonyx capensis","5","2015","NT"
"Leptailurus serval","5","2019","LC"
"Thryonomys swinderianus","4","2016","LC"
"Atilax paludinosus","3","2015","LC"
"Spilogale putorius","3","2016","VU"
"Glaucomys volans","3","2016","LC"
"Sus scrofa","3","2019","LC"
"Sciurus niger","4","2016","LC"
"Taxidea taxus","3","2016","LC"
"Lepus europaeus","3","2019","LC"
"Sylvilagus obscurus","3","2019","NT"
"Spilogale gracilis","2","2016","LC"
"Bassariscus astutus","3","2016","LC"
"Pecari tajacu","3","2011","LC"
"Nasua narica","3","2016","LC"
"Puma concolor","4","2015","LC"
"Conepatus leuconotus","2","2016","LC"
"Mephitis macroura","3","2016","LC"
"Odocoileus hemionus","3","2016","LC"
"Lepus californicus","3","2019","LC"
"Vulpes macrotis","4","2014","LC"
"Ovis canadensis","3","2020","LC"
"Sylvilagus audubonii","3","2019","LC"
"Antilocapra americana","3","2016","LC"
"Cynomys ludovicianus","4","2016","LC"
"Herpestes urva","3","2015","LC"
"Menetes berdmorei","3","2016","LC"
"Muntiacus muntjak","3","2016","LC"
"Callosciurus finlaysonii","3","2017","LC"
"Canis aureus","1","2018","LC"
"Tupaia belangeri","3","2016","LC"
"Elephas maximus","8","2020","EN"
"Atherurus macrourus","4","2020","LC"
"Bos javanicus","8","2016","EN"
"Paradoxurus hermaphroditus","3","2016","LC"
"Ursus thibetanus","6","2020","VU"
"Viverra zibetha","4","2016","LC"
"Prionailurus bengalensis","4","2015","LC"
"Tragulus kanchil","2","2015","LC"
