"Variable","Estimate","lower","upper"
"(Intercept)",0.423272122580638,-0.780208866075268,1.62675311123654
"BodyMass.Value",-0.164854987915005,-0.454158297113563,0.124448321283553
"ForStrat.ValueAr",1.67906742615776,0.926019067585706,2.43211578472981
"ForStrat.ValueS",-1.01954564101342,-1.89842592497705,-0.140665357049781
"diet.breadth",-0.26968560017,-0.549008960479343,0.00963776013934325
"Activity.Nocturnal",0.0336728792712968,-0.618536931532402,0.685882690074995
"IUCN_frq",-0.323134300934408,-0.584166318756687,-0.062102283112129
"IUCN_year",0.112719945414963,-0.180425671192869,0.405865562022795
"realmIndo-Malay",1.53665412715034,-0.0764203218970791,3.14972857619777
"realmNearctic",-0.582425513527855,-2.0229604410293,0.858109413973594
"realmNeotropical",0.969730106568188,-0.909895491400552,2.84935570453693
"sampling_effort_t",-0.128594625732533,-0.622213448388212,0.365024196923145
"Tree_mean",-0.467851571414048,-1.04909321692267,0.113390074094576
