"Scientific","anchor"
"Aotus zonalis","Aotus lemurinus"
"Bassaricyon medius","Bassaricyon alleni"
"Alouatta discolor","Alouatta belzebul"
"Pithecia chrysocephala","Pithecia pithecia"
"Bos gaurus","Bos frontalis"
"Piliocolobus oustaleti","Piliocolobus rufomitratus"
"Eulemur rufifrons","Eulemur rufus"
"Avahi peyrierasi","Avahi laniger"
"Cephalophus harveyi","Cephalophus natalensis"
"Acomys ngurui","Acomys spinosissimus"
"Muntiacus montanus","Muntiacus muntjak"
"Neofelis diardi","Neofelis nebulosa"
"Herpailurus yagouaroundi","Puma yagouaroundi"
"Canis lupaster","Canis lupus"
"Sylvilagus gabbi","Sylvilagus brasiliensis"
"Herpestes sanguineus","Galerella sanguinea"
"Hylomyscus vulcanorum","Hylomyscus denniae"
"Phataginus tetradactyla","Manis tetradactyla"
"Mazama nemorivaga","Mazama gouazoubira"
"Toromys grandis","Makalata grandis"
"Dasyprocta croconota","Dasyprocta leporina"
"Cheirogaleus grovesi","Cheirogaleus crossleyi"
"Plecturocebus urubambensis","Callicebus brunneus"
"Leontocebus weddelli","Saguinus nigricollis"
"Dasyprocta variegata","Dasyprocta leporina"
"Hylomyscus arcimontensis","Hylomyscus denniae"
"Biswamoyopterus laoensis","Biswamoyopterus biswasi"
"Philander mondolfii","Philander opossum"
"Hylomyscus walterverheyeni","Hylomyscus alleni"
"Maxomys tajuddinii","Maxomys whiteheadi"
"Procolobus gordonorum","Piliocolobus gordonorum"
"Rhynchocyon udzungwensis","Rhynchocyon cirnei"
"Saimiri cassiquiarensis","Saimiri sciureus"
"Marmosa alstoni","Micoureus alstoni"
"Galeopterus variegatus","Galeopterus variegates"
"Monodelphis ronaldi","Monodelphis adusta"
"Muntiacus vaginalis","Muntiacus muntjak"
"Microgale majori","Microgale longicaudata"
"Tragelaphus oryx","Taurotragus derbianus"
"Pithecia inusta","Pithecia pithecia"
"Pattonomys occasius","Makalata occasius"
