"speciesScientificName","type","projectID"
"Tragulus javanicus","A","TEAMS_BBS"
"Presbytis melalophos","A","TEAMS_BBS"
"Pardofelis marmorata","A","TEAMS_BBS"
"Muntiacus montanus","A","TEAMS_BBS"
"Muntiacus muntjak","B","TEAMS_BBS"
"Macaca nemestrina","B","TEAMS_BBS"
"Helarctos malayanus","B","TEAMS_BBS"
"Rusa unicolor","B","TEAMS_BBS"
"Sus scrofa","B","TEAMS_BBS"
"Tragulus napu","B","TEAMS_BBS"
"Tapirus indicus","B","TEAMS_BBS"
"Symphalangus syndactylus","B","TEAMS_BBS"
"Manis javanica","B","TEAMS_BBS"
"Panthera tigris","B","TEAMS_BBS"
"Prionailurus bengalensis","B","TEAMS_BBS"
"Elephas maximus","B","TEAMS_BBS"
"Cuon alpinus","B","TEAMS_BBS"
"Catopuma temminckii","B","TEAMS_BBS"
"Neofelis diardi","B","TEAMS_BBS"
"Prionodon linsang","B","TEAMS_BBS"
"Arctogalidia trivirgata","B","TEAMS_BBS"
"Paguma larvata","B","TEAMS_BBS"
"Macaca fascicularis","B","TEAMS_BBS"
"Hemigalus derbyanus","B","TEAMS_BBS"
"Cynogale bennettii","B","TEAMS_BBS"
"Arctictis binturong","B","TEAMS_BBS"
"Lutra lutra","B","TEAMS_BBS"
"Herpestes brachyurus","B","TEAMS_BBS"
"Tragulus kanchil","B","TEAMS_BBS"
"Paradoxurus hermaphroditus","B","TEAMS_BBS"
"Aonyx cinereus","B","TEAMS_BBS"
"Capricornis sumatraensis","B","TEAMS_BBS"
"Martes flavigula","B","TEAMS_BBS"
"Hystrix brachyura","C","TEAMS_BBS"
"Trichys fasciculata","C","TEAMS_BBS"
"Herpestes semitorquatus","C","TEAMS_BBS"
"Nycticebus coucang","C","TEAMS_BBS"
"Hylobates agilis","C","TEAMS_BBS"
"Viverra tangalunga","C","TEAMS_BBS"
"Petaurista elegans","C","TEAMS_BBS"
"Dicerorhinus sumatrensis","C","TEAMS_BBS"
"Cephalopachus bancanus","C","TEAMS_BBS"
"Ratufa affinis","C","TEAMS_BBS"
"Hystrix sumatrae","C","TEAMS_BBS"
"Ratufa bicolor","C","TEAMS_BBS"
"Petaurista petaurista","C","TEAMS_BBS"
"Trachypithecus cristatus","C","TEAMS_BBS"
"Mustela nudipes","C","TEAMS_BBS"
"Rhizomys sumatrensis","C","TEAMS_BBS"
"Presbytis mitrata","C","TEAMS_BBS"
"Galeopterus variegatus","C","TEAMS_BBS"
"Lutra sumatrana","C","TEAMS_BBS"
"Lutrogale perspicillata","C","TEAMS_BBS"
"Prionailurus planiceps","C","TEAMS_BBS"
"Sylvilagus brasiliensis","A","TEAMS_BCI"
"Cebus capucinus","A","TEAMS_BCI"
"Metachirus nudicaudatus","A","TEAMS_BCI"
"Marmosa robinsoni","A","TEAMS_BCI"
"Herpailurus yagouaroundi","A","TEAMS_BCI"
"Didelphis marsupialis","B","TEAMS_BCI"
"Odocoileus virginianus","B","TEAMS_BCI"
"Nasua narica","B","TEAMS_BCI"
"Pecari tajacu","B","TEAMS_BCI"
"Leopardus pardalis","B","TEAMS_BCI"
"Tamandua mexicana","B","TEAMS_BCI"
"Mazama temama","B","TEAMS_BCI"
"Dasypus novemcinctus","B","TEAMS_BCI"
"Eira barbara","B","TEAMS_BCI"
"Cabassous centralis","B","TEAMS_BCI"
"Procyon cancrivorus","B","TEAMS_BCI"
"Philander opossum","B","TEAMS_BCI"
"Tapirus bairdii","B","TEAMS_BCI"
"Alouatta palliata","B","TEAMS_BCI"
"Leopardus wiedii","B","TEAMS_BCI"
"Galictis vittata","B","TEAMS_BCI"
"Canis latrans","B","TEAMS_BCI"
"Urocyon cinereoargenteus","C","TEAMS_BCI"
"Transandinomys talamancae","C","TEAMS_BCI"
"Coendou quichua","C","TEAMS_BCI"
"Aotus zonalis","C","TEAMS_BCI"
"Sylvilagus gabbi","C","TEAMS_BCI"
"Cuniculus paca","C","TEAMS_BCI"
"Bassaricyon medius","C","TEAMS_BCI"
"Choloepus hoffmanni","C","TEAMS_BCI"
"Transandinomys bolivaris","C","TEAMS_BCI"
"Panthera onca","C","TEAMS_BCI"
"Bradypus variegatus","C","TEAMS_BCI"
"Speothos venaticus","C","TEAMS_BCI"
"Potos flavus","C","TEAMS_BCI"
"Ateles geoffroyi","C","TEAMS_BCI"
"Dasyprocta punctata","C","TEAMS_BCI"
"Procyon lotor","C","TEAMS_BCI"
"Cebus imitator","C","TEAMS_BCI"
"Chironectes minimus","C","TEAMS_BCI"
"Lontra longicaudis","C","TEAMS_BCI"
"Hydrochoerus isthmius","C","TEAMS_BCI"
"Cercopithecus lhoesti","A","TEAMS_BIF"
"Genetta genetta","A","TEAMS_BIF"
"Canis lupus","A","TEAMS_BIF"
