"speciesScientificName","type","projectID"
"Tamiasciurus hudsonicus","A","EMML_AACT"
"Tamias striatus","A","EMML_AACT"
"Mustela erminea","A","EMML_AACT"
"Mustela frenata","A","EMML_AACT"
"Mephitis mephitis","B","EMML_AACT"
"Odocoileus virginianus","B","EMML_AACT"
"Procyon lotor","B","EMML_AACT"
"Canis latrans","B","EMML_AACT"
"Martes pennanti","B","EMML_AACT"
"Vulpes vulpes","B","EMML_AACT"
"Sciurus carolinensis","B","EMML_AACT"
"Sylvilagus floridanus","B","EMML_AACT"
"Urocyon cinereoargenteus","B","EMML_AACT"
"Didelphis virginiana","B","EMML_AACT"
"Erethizon dorsatum","B","EMML_AACT"
"Ursus americanus","C","EMML_AACT"
"Lepus americanus","C","EMML_AACT"
"Lynx rufus","C","EMML_AACT"
"Marmota monax","C","EMML_AACT"
"Castor canadensis","C","EMML_AACT"
"Lontra canadensis","C","EMML_AACT"
"Ondatra zibethicus","C","EMML_AACT"
"Neovison vison","C","EMML_AACT"
"Helogale parvula","A","EMML_AS"
"Hystrix cristata","A","EMML_AS"
"Petrodromus tetradactylus","A","EMML_AS"
"Rhynchocyon chrysopygus","A","EMML_AS"
"Cricetomys gambianus","A","EMML_AS"
"Paraxerus palliatus","A","EMML_AS"
"Orycteropus afer","B","EMML_AS"
"Cephalophus adersi","B","EMML_AS"
"Syncerus caffer","B","EMML_AS"
"Civettictis civetta","B","EMML_AS"
"Loxodonta africana","B","EMML_AS"
"Cercopithecus mitis","B","EMML_AS"
"Tragelaphus scriptus","B","EMML_AS"
"Potamochoerus larvatus","B","EMML_AS"
"Lepus capensis","B","EMML_AS"
"Caracal caracal","B","EMML_AS"
"Genetta maculata","B","EMML_AS"
"Sylvicapra grimmia","B","EMML_AS"
"Phacochoerus africanus","B","EMML_AS"
"Cephalophus harveyi","B","EMML_AS"
"Mellivora capensis","B","EMML_AS"
"Madoqua kirkii","B","EMML_AS"
"Herpestes sanguineus","B","EMML_AS"
"Otolemur garnettii","B","EMML_AS"
"Bdeogale omnivora","B","EMML_AS"
"Nesotragus moschatus","B","EMML_AS"
"Ichneumia albicauda","B","EMML_AS"
"Papio cynocephalus","B","EMML_AS"
"Otocyon megalotis","C","EMML_AS"
"Chlorocebus pygerythrus","C","EMML_AS"
"Cricetomys ansorgei","C","EMML_AS"
"Kobus ellipsiprymnus","C","EMML_AS"
"Proteles cristata","C","EMML_AS"
"Ceratotherium simum","C","EMML_AS"
"Diceros bicornis","C","EMML_AS"
"Felis silvestris","C","EMML_AS"
"Heterohyrax brucei","C","EMML_AS"
"Philantomba monticola","C","EMML_AS"
"Nanger granti","C","EMML_AS"
"Panthera pardus","C","EMML_AS"
"Genetta genetta","C","EMML_AS"
"Canis adustus","C","EMML_AS"
"Ictonyx striatus","C","EMML_AS"
"Otolemur crassicaudatus","C","EMML_AS"
"Paragalago cocos","C","EMML_AS"
"Herpestes ichneumon","C","EMML_AS"
"Thryonomys gregorianus","C","EMML_AS"
"Canis mesomelas","C","EMML_AS"
"Hyaena hyaena","C","EMML_AS"
"Smutsia temminckii","C","EMML_AS"
"Aepyceros melampus","C","EMML_AS"
"Crocuta crocuta","C","EMML_AS"
"Redunca redunca","C","EMML_AS"
"Mungos mungo","C","EMML_AS"
"Aonyx capensis","C","EMML_AS"
"Leptailurus serval","C","EMML_AS"
"Thryonomys swinderianus","C","EMML_AS"
"Atilax paludinosus","C","EMML_AS"
"Tamias striatus","A","EMML_ATP"
"Spilogale putorius","A","EMML_ATP"
"Glaucomys volans","A","EMML_ATP"
"Sus scrofa","A","EMML_ATP"
"Mustela frenata","A","EMML_ATP"
"Ursus americanus","B","EMML_ATP"
"Sciurus carolinensis","B","EMML_ATP"
"Procyon lotor","B","EMML_ATP"
"Odocoileus virginianus","B","EMML_ATP"
"Didelphis virginiana","B","EMML_ATP"
"Canis latrans","B","EMML_ATP"
"Lynx rufus","B","EMML_ATP"
"Mephitis mephitis","B","EMML_ATP"
"Sciurus niger","B","EMML_ATP"
"Sylvilagus floridanus","B","EMML_ATP"
"Marmota monax","B","EMML_ATP"
"Vulpes vulpes","B","EMML_ATP"
"Urocyon cinereoargenteus","B","EMML_ATP"
"Martes pennanti","B","EMML_ATP"
"Taxidea taxus","C","EMML_ATP"
"Lepus europaeus","C","EMML_ATP"
"Lepus americanus","C","EMML_ATP"
"Sylvilagus obscurus","C","EMML_ATP"
"Castor canadensis","C","EMML_ATP"
"Lontra canadensis","C","EMML_ATP"
