"spp_name","itis_name","check"
"Muntiacus muntjak","Muntiacus muntjak","valid"
"Macaca nemestrina","Macaca nemestrina","valid"
"Helarctos malayanus","Helarctos malayanus","valid"
"Rusa unicolor","Rusa unicolor","valid"
"Sus scrofa","Sus scrofa","valid"
"Tragulus napu","Tragulus napu","valid"
"Symphalangus syndactylus","Symphalangus syndactylus","valid"
"Manis javanica","Manis javanica","valid"
"Panthera tigris","Panthera tigris","valid"
"Prionailurus bengalensis","Prionailurus bengalensis","valid"
"Elephas maximus","Elephas maximus","valid"
"Cuon alpinus","Cuon alpinus","valid"
"Neofelis diardi","Neofelis diardi","valid"
"Prionodon linsang","Prionodon linsang","valid"
"Arctogalidia trivirgata","Arctogalidia trivirgata","valid"
"Paguma larvata","Paguma larvata","valid"
"Macaca fascicularis","Macaca fascicularis","valid"
"Presbytis melalophos","Presbytis melalophos","valid"
"Hemigalus derbyanus","Hemigalus derbyanus","valid"
"Cynogale bennettii","Cynogale bennettii","valid"
"Arctictis binturong","Arctictis binturong","valid"
"Pardofelis marmorata","Pardofelis marmorata","valid"
"Lutra lutra","Lutra lutra","valid"
"Herpestes brachyurus","Herpestes brachyurus","valid"
"Tragulus kanchil","Tragulus kanchil","valid"
"Paradoxurus hermaphroditus","Paradoxurus hermaphroditus","valid"
"Capricornis sumatraensis","Capricornis sumatraensis","valid"
"Canis lupus familiaris","Canis lupus familiaris","valid"
"Martes flavigula","Martes flavigula","valid"
"Didelphis marsupialis","Didelphis marsupialis","valid"
"Odocoileus virginianus","Odocoileus virginianus","valid"
"Nasua narica","Nasua narica","valid"
"Pecari tajacu","Pecari tajacu","valid"
"Leopardus pardalis","Leopardus pardalis","valid"
"Tamandua mexicana","Tamandua mexicana","valid"
"Sylvilagus brasiliensis","Sylvilagus brasiliensis","valid"
"Mazama temama","Mazama temama","valid"
"Dasypus novemcinctus","Dasypus novemcinctus","valid"
"Eira barbara","Eira barbara","valid"
"Cebus capucinus","Cebus capucinus","valid"
"Cabassous centralis","Cabassous centralis","valid"
"Metachirus nudicaudatus","Metachirus nudicaudatus","valid"
"Procyon cancrivorus","Procyon cancrivorus","valid"
"Philander opossum","Philander opossum","valid"
"Marmosa robinsoni","Marmosa robinsoni","valid"
"Puma yagouaroundi","Puma yagouaroundi","valid"
"Alouatta palliata","Alouatta palliata","valid"
"Leopardus wiedii","Leopardus wiedii","valid"
"Galictis vittata","Galictis vittata","valid"
"Canis latrans","Canis latrans","valid"
"Cephalophus nigrifrons","Cephalophus nigrifrons","valid"
"Cephalophus silvicultor","Cephalophus silvicultor","valid"
"Canis adustus","Canis adustus","valid"
"Mellivora capensis","Mellivora capensis","valid"
"Potamochoerus larvatus","Potamochoerus larvatus","valid"
"Atilax paludinosus","Atilax paludinosus","valid"
"Tragelaphus spekii","Tragelaphus spekii","valid"
"Genetta servalina","Genetta servalina","valid"
"Gorilla beringei","Gorilla beringei","valid"
"Pan troglodytes","Pan troglodytes","valid"
"Civettictis civetta","Civettictis civetta","valid"
